Track Name,Artist,Album,Popularity,Duration (minutes)
Maruvaarthai,Darbuka Siva,Enai Noki Paayum Thota (Original Motion Picture Soundtrack),0,5.9453
Ennodu Nee Irundhaal,A.R. Rahman,I (Original Motion Picture Soundtrack),67,5.8785
High On Love,"Yuvan Shankar Raja,Sid Sriram","High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",0,4.002816666666667
Thalli Pogathey,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),57,4.439333333333333
Ennadi Maayavi Nee,Sid Sriram,VadaChennai (Original Motion Picture Soundtrack),0,4.183333333333334
Yaen Ennai Pirindhaai,Sid Sriram,Adithya Varma,62,3.3041666666666667
Kadhaippoma,Leon James,Oh My Kadavule (Original Motion Picture Soundtrack),54,4.7034666666666665
Hey Penne,Santhosh Dhayanidhi,Kattappava Kanom (Original Motion Picture Soundtrack),48,3.32235
"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",Darbuka Siva,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",65,5.5450333333333335
Nee Mattum Podhum,Pradeep Kumar,Meyaadha Maan (Original Motion Picture Soundtrack),41,3.3664
Visiri,Darbuka Siva,Visiri (From 'Enai Noki Paayum Thota'),0,5.18545
Kannaana Kanney,Sid Sriram,Viswasam,0,4.501433333333333
Kurumba - Father's Love,D. Imman,Tik Tik Tik (Original Motion Picture Soundtrack),48,4.461433333333333
Thaarame Thaarame,Ghibran,Kadaram Kondan (Original Motion Picture Soundtrack),0,3.8035666666666668
Yennai Maatrum Kadhale,Sid Sriram,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),0,4.577966666666667
Unkoodave Porakkanum (Brotherâ€™s Version),Sid Sriram,Namma Veettu Pillai (Original Motion Picture Soundtrack),0,4.348166666666667
Kulirudha Pulla,Sid Sriram,Oththa Seruppu,0,4.978883333333333
"Ennai Vittu (From ""Love Today"")",Yuvan Shankar Raja,"Ennai Vittu (From ""Love Today"")",62,4.077816666666667
Neerkumizho,Girishh G,Kolai (Original Motion Picture Soundtrack),32,4.319566666666667
"Verrattaama Verratturiye (From ""Veera"")",Leon James,"Verrattaama Verratturiye (From ""Veera"")",51,4.63245
Nee Tholaindhaayo,Leon James,Kavalai Vendam (Original Motion Picture Soundtrack),52,3.71455
"Pularaadha (From ""Dear Comrade"")",Sid Sriram,"Pularaadha (From ""Dear Comrade"")",0,4.359516666666667
"Vaa Vaa Penne - From ""Uriyadi 2""",Govind Vasantha,"Vaa Vaa Penne (From ""Uriyadi 2"")",46,4.9144
Nee Nenacha,Hiphop Tamizha,Mr. Local (Original Motion Picture Soundtrack),60,4.47805
Kannu Thangom,Sid Sriram,Vaanam Kottattum (Original Motion Picture Soundtrack),41,3.45
"Oru Naal - From ""Angelina""",D. Imman,"Oru Naal (From ""Angelina"")",31,4.327216666666667
"Anthimaalai Neram (From ""Monster"")",Sid Sriram,"Anthimaalai Neram (From ""Monster"")",40,3.9632
Anbae Peranbae,Sid Sriram,NGK (Original Motion Picture Soundtrack),64,4.488883333333333
"Unna Nenachu (From ""Psycho (Tamil)"")",Ilaiyaraaja,"Unna Nenachu [From ""Psycho (Tamil)""]",58,4.591716666666667
Adiye,A.R. Rahman,Kadal (Original Motion Picture Soundtrack),47,5.032883333333333
En Iniya Thanimaye,D. Imman,Teddy (Original Motion Picture Soundtrack),52,4.5525166666666665
En Uyir Kaatre,Sid Sriram,Vaanam Kottattum (Original Motion Picture Soundtrack),34,4.249983333333334
Yaar Azhaippadhu,Ghibran,Maara (Original Motion Picture Soundtrack),60,4.172083333333333
Nee Singam Dhan,A.R. Rahman,Pathu Thala (Original Motion Picture Soundtrack),64,4.1299
"Amma Song (From Kanam) - From ""Kanam""",Jakes Bejoy,"Amma Song (From Kanam) [From ""Kanam""]",40,5.32995
"Nira - From ""Takkar""",Sid Sriram,"Nira (From ""Takkar"")",65,5.079533333333333
"Inayae (From ""Thadam"")",Sid Sriram,"Inayae (From ""Thadam"") - Single",41,3.5729
"Theethiriyaai (From ""Brahmastra (Tamil)"")",Pritam,"Theethiriyaai [From ""Brahmastra (Tamil)""]",52,4.639616666666667
Saara Kaattrae,Shreya Ghoshal,Annaatthe (Original Motion Picture Soundtrack),37,4.125
"Srivalli (From ""Pushpa - The Rise"")(Tamil)",Devi Sri Prasad,"Srivalli (From ""Pushpa - The Rise"")(Tamil)",54,3.683333333333333
"Edho Solla (From ""Murungakkai Chips"")",Dharan Kumar,"Edho Solla (From ""Murungakkai Chips"")",47,5.048033333333334
"Yaaradiyo - From ""Gorilla""",Sam C.S.,"Yaaradiyo (From ""Gorilla"")",49,3.80975
Thinam Thinam,Sid Sriram,Vaanam Kottattum (Original Motion Picture Soundtrack),33,3.5
"Kaadhal Theevey (From ""Dharala Prabhu"")",Sean Roldan,"Kaadhal Theevey (From ""Dharala Prabhu"")",35,3.9809
Maruvaarthai - Restrung Version,Darbuka Siva,Enai Noki Paayum Thota (Original Motion Picture Soundtrack),0,5.019983333333333
Jwalamukhi - Reprise,A.R. Rahman,99 Songs (Tamil) [Original Motion Picture Soundtrack],38,4.1334
Aagayam Thaayaga,Sid Sriram,Yaadhumaagi Nindraai (Original Motion Picture Soundtrack),0,3.78525
"Aalankuruvigalaa (From ""Bakrid"")",Sid Sriram,"Aalankuruvigalaa (From ""Bakrid"") - Single",35,4.113666666666667
Po Po Yen,Sid Sriram,Po Po Yen - Single,0,4.116433333333333
Yaarumillaa,Sid Sriram,Adithya Varma,52,4.14515
Mei Nigara,Sid Sriram,24 (Tamil) (Original Motion Picture Soundtrack),0,5.279333333333334
Maacho,A.R. Rahman,Mersal (Original Motion Picture Soundtrack),55,4.59925
Endhira Logathu Sundariye,"Sid Sriram,Shashaa Tirupati",2.0 [Tamil] (Original Motion Picture Soundtrack),0,5.491733333333333
Alladhe Siragiye,Anirudh Ravichander,Rum (Original Motion Picture Soundtrack),37,3.71155
OMG Ponnu,Sid Sriram,Sarkar (Tamil) [Original Motion Picture Soundtrack],52,4.737066666666666
Easy Come Easy Go,Sid Sriram,Vaanam Kottattum (Original Motion Picture Soundtrack),33,3.8333333333333335
"Theerathae - From ""Pancharaaksharam""",Sid Sriram,"Theerathae (From ""Pancharaaksharam"")",37,4.26095
"Netru Varai (From ""Siren"")",G. V. Prakash,"Netru Varai (From ""Siren"")",45,4.581183333333334
